Decision Journal  v3,,,,,,,,,,,,
결과 보기 전에 기록.   진입 = 거래#에 1·2·3   |   비진입 = -,,,,,,,,,,,,
시각·방향은 비진입만 입력 (진입은 PD에서 자동 반영),,,,,,,,,,,,
"노란 칸(zone명확성 · zone) = 하루 1회, 10:10 시점 기준.   ★ 3 = 가장 나쁨",,,,,,,,,,,,
zone(10:10)은 수정 금지. 장중에 바뀌면 옆 칸에 따로 — 두 칸이 다른 것 자체가 데이터,,,,,,,,,"P1: 더블탑바텀
P2: 박스응집 (A: 두 zone 사이/ B: zone을 중앙)
P3: grind
260828,101633,1,,1,z4 밑에서 부터 v반등 크게. z4 위로 떠나 z1 으로 이동,"z1: 29570-29590, z2: 29610-29630, z3: 29650-29670, z4: 29530-29550",,,,Playback,,
,102151,2,,,"directional 추세가 강하니, 한번더 z2 를 위로 뚫어 z3 으로 이동. 상승 트렌드의 continuation",,,,,Playback,,
,103030,3,,,z2-3 왕복. 3 터치후 2로 다시 복귀,,,갑자기 zone 상호작용 떨어지는 느낌,p2-A,Playback,,
260831,101057,1,,2,z1-2 왕복. z1 을 떠나 z2 로 이동.,"z1:29370-29380, z2: 29400-29410, z3: 29430-29440",,변동성 대비 브라켓이 커서 pt 가 z2 윗경계 까지 감. 가격은 밑 경계 까지만 갔다가 다시 돌아옴,p2-A,playback,,
,101804,2,,,z1-2 왕복 구간을 떠나서 위로 상승. z2 위로 뚫고 올라감. 이제는 directional 로 z3 까지?,,,이번에도 z3 밑 경계만 살짝 터치후 다시 z2 으로 돌아옴. 오늘은 zone 이 얇은 날. 가격도 경계를 깊에 뚫고 들어가지 않는거 같다,,playback,,
,102818,3,,,z1 밑으로 나가서 살짝 머물다가 다시 위로 올려짐. 사실상 더블바텀 같은 느낌으로 브레이크 잡으며 감아 올려진 모양. 위로 z2 까지 다시 이동할것,,,가격은 이동하기 보다는 z1 에 머뭄. 그 머뭄이 몇분간 오랫동안 지속 되다가 결국에는 예상한대로 위로 이동. 이동이 딜레이 된듯한 느낌,,playback,,
260901,101616,1,Reverse,1,이미 이전 29160 고점도 넘어섰고 z2 를 크게 위로 벗어남. 10pt 이상 벗어났으니 아직 안보이지만 위의 다음 zone 으로 갈듯?,"z1: 29090-29110, z2: 29130-29150",,101318 정도에 들어가고 싶었는데 (숏의 역방향 롱) 딴짓하다 못들어가서 이번에는 좀 억지로 들어간 느낌이 없지 않아 있음? 근데 이것도 진 거래라서 그렇게 느끼는 거려나?,,live eval,,
,102239,2,Reverse,,이번에도 크게 z2 위로 두번째로 벗어났다가 다시 zone 가까이 까지 떨어져 내려오며 더블탑 형성. z2 안으로 다시 돌아갈듯,,,,p1,live eval,,
260902,102533,1,,2,10시부터 z1 부터 z3 위까지 거의 쉬지않고 계속 상승. z3 위로 뚫은 후 조금씩 천천히 다시 내려옴. 두번의 위로 가는 시도가 실패하고 점점 밀려 내려오는 그림이라 z3 으로 돌아오는걸 타겟으로 숏엔트리,"z1: 29040-29060, z2: 29090-29100, z3: 29140-29160",,z3 으로 오긴 했지만 경계만 터치하고 다시 올라감.,,playback,,
260903,101937,1,,2,z1부터 2로 이동했고 계속 위로 밀리면서 z2 위로 탈출. 응집하며 형성되는 고점 3번이나 넘어가고 위로 이동. z3 까지 갈것,"z1: 29260-29280, z2: 29300-29320, z3: 29340-29360",,,,playback,,
260904,102410,1,Reverse,1,z1 까지 내려왔다가 v 반등으로 다시 z2 찍음. 그뒤 다시 절반이상 내려오는걸 보니 z1 으로 복귀?,"z1: 29580-29590, z2: 29610-29620, z3: 29640-29660",,카오스 미터 8+ 이었던 날,p2-A,playback,,
